Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
CMR;CAMEROON;;0;31980;0;3000;0;1000;10279;0;0;0;100;;1500;0;1510;0;0;0;;0;0;0;200;0;0;0;0;0;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;CANADA;0;0;0;7000;0;0;0;0;0;0;0;0;0;30;700;200;0;0;12000;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;;0;0;300;0;;;1500;0;;;;0;0;;;0;0;;0;;;;2000;0;0;;;0;;;;0;;;;;;;;;;0;;;;;0;;;0;;;;;;11000;;;;0;;;0;;;2500;200;0;;0;;;0;;0;;;
CPV;CAPE VERDE IS;;;;;;0;;;;;0;;0;;;;0;;;5000;0;;0;;;;0;;;;0;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;0
CYM;CAYMAN ISLANDS;;;;;;;0;;;;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;CENTRAL AFRICAN REP;;0;3870;0;0;14835;795;1812;;23798;12698;240;750;3000;0;25919;9200;;1500;1957;;;0;;;;;;;;;0;;900;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCD;CHAD;;;0;0;0;5795;6450;0;0;0;0;0;;0;0;45000;1000;0;0;40343;;0;;0;;;0;0;0;500;;;;0;;;;0;;;;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
CHL;CHILE;14500;0;0;1082;800000;;23000;0;0;548;0;285;0;714;10401;1000;;24000;;575;;1225;38000;18871;0;0;0;86000;0;500000;119994;0;0;;;0;0;16800;;;0;;;0;;;0;;0;25000;0;0;;;0;;0;;;;;0;;;;0;0;;0;;;0;0;;;0;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;
CHN;CHINA P REP;0;152540;48618;308425;356625;158450;414235;69855;631160;281000;684124;1805886;2348;854215;410124;2449985;28447600;927294;6273870;1337000;6310000;185360;507400;4214100;517891;145115;437000;432400;810290;18000;0;16500;210000;200000;100;0;0;;0;0;0;;;;7880;0;;;0;0;0;;;;;0;;0;0;0;0;;;0;0;0;0;;;;;;0;;;0;;;;0;0;3600000;0;0;;;0;0;;0;;0;0;;0;;0;0;;0;;;0;0;0;0;;0;0;;;;;;
COL;COLOMBIA;0;300;8000;0;0;593;1700;2000;0;0;500;60;2000;7500;39000;506920;0;0;310;89250;33197;375;1500;295;0;0;0;0;0;0;0;500;0;0;0;2000;;100;0;;0;0;0;0;105000;0;63;0;;0;;;0;;;0;;;;;0;;;;40000;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;
COM;COMOROS;0;;0;;;0;;0;0;0;;300;;;;0;0;;;;;;;200;;0;;50000;;0;;0;;0;;;;5000;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
